task,seed,method,stage10_method_alias,train_row_count,validation_row_count,test_row_count,support_class_count,support_head_test_accuracy,selected_position_scale,selected_cue_scale,selected_distance_scale,routing_position_scale,routing_support_scale,routing_distance_scale,train_loss,train_perplexity,train_top1_accuracy,train_mrr,train_mean_target_probability,train_mean_top1_confidence,train_expected_calibration_error,validation_loss,validation_perplexity,validation_top1_accuracy,validation_mrr,validation_mean_target_probability,validation_mean_top1_confidence,validation_expected_calibration_error,test_loss,test_perplexity,test_top1_accuracy,test_mrr,test_mean_target_probability,test_mean_top1_confidence,test_expected_calibration_error
phase_cued_retrieval,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.56649,5.406435,7.890262,-1.56649,5.406435,7.890262,0.025789,1.026125,1.0,1.0,0.975549,0.975549,0.024451,0.519758,1.681621,0.5,0.75,0.638168,0.68194,0.18768,0.995276,2.705472,0.5,0.75,0.446826,0.699675,0.315768
exact_offset_passkey,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.56649,5.406435,7.890262,-1.56649,5.406435,7.890262,2.529498,12.547205,0.25,0.322198,0.275992,0.335517,0.087507,1.940225,6.96032,0.5,0.541969,0.486892,0.617297,0.165453,3.732677,41.790848,0.25,0.332489,0.251655,0.547524,0.297524
tiny_text_fact_qa,313,phasewrap_adapter,phasewrap_adapter,12,6,12,7,1.0,-1.56649,5.406435,7.890262,-1.56649,5.406435,7.890262,0.453871,1.574395,0.916667,0.925926,0.735835,0.744809,0.19856,0.313588,1.368325,1.0,1.0,0.732257,0.732257,0.267743,0.428575,1.535069,1.0,1.0,0.653735,0.653735,0.346265
phase_cued_retrieval,317,no_position,no_position,12,6,12,7,1.0,0.0,5.160739,6.126484,0.0,5.160739,6.126484,0.129863,1.138672,0.916667,0.958333,0.904074,0.914595,0.023808,0.981283,2.667877,0.333333,0.666667,0.484799,0.813949,0.489296,1.741322,5.704879,0.0,0.5,0.209011,0.734781,0.734781
exact_offset_passkey,317,no_position,no_position,12,6,12,7,1.0,0.0,5.160739,6.126484,0.0,5.160739,6.126484,3.247521,25.726481,0.25,0.300382,0.25766,0.471089,0.221089,3.404633,30.103249,0.166667,0.320833,0.178559,0.376571,0.209904,4.207531,67.190439,0.166667,0.251705,0.16234,0.556371,0.389704
tiny_text_fact_qa,317,no_position,no_position,12,6,12,7,1.0,0.0,5.160739,6.126484,0.0,5.160739,6.126484,0.459534,1.583336,1.0,1.0,0.632651,0.632651,0.367349,0.601591,1.82502,1.0,1.0,0.548643,0.548643,0.451357,1.039286,2.827197,0.916667,0.920139,0.422484,0.425337,0.500621
phase_cued_retrieval,317,sinusoidal,sinusoidal,12,6,12,7,1.0,2.165034,4.232238,7.02302,2.165034,4.232238,7.02302,0.128505,1.137127,0.916667,0.958333,0.906069,0.917202,0.020949,1.144286,3.140198,0.333333,0.666667,0.449662,0.816303,0.492138,1.901368,6.695047,0.333333,0.666667,0.224617,0.73126,0.73022
exact_offset_passkey,317,sinusoidal,sinusoidal,12,6,12,7,1.0,2.165034,4.232238,7.02302,2.165034,4.232238,7.02302,0.895861,2.449444,0.833333,0.916667,0.511113,0.619872,0.468087,1.028796,2.797695,0.833333,0.916667,0.41659,0.505475,0.552987,1.53881,4.659042,0.583333,0.763889,0.335563,0.537017,0.38286
tiny_text_fact_qa,317,sinusoidal,sinusoidal,12,6,12,7,1.0,2.165034,4.232238,7.02302,2.165034,4.232238,7.02302,0.156987,1.16998,1.0,1.0,0.854965,0.854965,0.145035,0.201068,1.222708,1.0,1.0,0.818072,0.818072,0.181928,0.397097,1.4875,1.0,1.0,0.687787,0.687787,0.312213
phase_cued_retrieval,317,alibi,alibi,12,6,12,7,1.0,-3.231663,5.351057,3.231663,-3.231663,5.351057,3.231663,0.126661,1.135032,0.916667,0.958333,0.906168,0.913696,0.019245,0.964147,2.622549,0.333333,0.666667,0.489638,0.81381,0.487594,1.730082,5.641119,0.0,0.5,0.215212,0.735006,0.735006
